coverage_level,vehicle_class,mileage_band,term,deductible,band,price,term_months,term_miles
EXCLUSIONARY,B,"60,001 - 72,000","60 / 75,000",100,REFERENCE_HIGH,7550,60,75000
EXCLUSIONARY,B,"72,001 - 84,000","24 / 24,000",100,REFERENCE_LOW,2550,24,24000
EXCLUSIONARY,B,"72,001 - 84,000","24 / 24,000",100,REFERENCE_HIGH,3350,24,24000
EXCLUSIONARY,B,"72,001 - 84,000","24 / 30,000",100,REFERENCE_LOW,2700,24,30000
EXCLUSIONARY,B,"72,001 - 84,000","24 / 30,000",100,REFERENCE_HIGH,3650,24,30000
EXCLUSIONARY,B,"72,001 - 84,000","36 / 36,000",100,REFERENCE_LOW,3600,36,36000
EXCLUSIONARY,B,"72,001 - 84,000","36 / 36,000",100,REFERENCE_HIGH,4800,36,36000
EXCLUSIONARY,B,"72,001 - 84,000","48 / 48,000",100,REFERENCE_LOW,4500,48,48000
EXCLUSIONARY,B,"72,001 - 84,000","48 / 48,000",100,REFERENCE_HIGH,6000,48,48000
EXCLUSIONARY,B,"72,001 - 84,000","60 / 60,000",100,REFERENCE_LOW,6150,60,60000
EXCLUSIONARY,B,"72,001 - 84,000","60 / 60,000",100,REFERENCE_HIGH,7150,60,60000
EXCLUSIONARY,B,"72,001 - 84,000","60 / 75,000",100,REFERENCE_LOW,6800,60,75000
EXCLUSIONARY,B,"72,001 - 84,000","60 / 75,000",100,REFERENCE_HIGH,7850,60,75000
EXCLUSIONARY,C,"0 - 48,000","24 / 24,000",100,REFERENCE_LOW,2050,24,24000
EXCLUSIONARY,C,"0 - 48,000","24 / 24,000",100,REFERENCE_HIGH,2750,24,24000
EXCLUSIONARY,C,"0 - 48,000","24 / 30,000",100,REFERENCE_LOW,2200,24,30000
EXCLUSIONARY,C,"0 - 48,000","24 / 30,000",100,REFERENCE_HIGH,2950,24,30000
EXCLUSIONARY,C,"0 - 48,000","36 / 36,000",100,REFERENCE_LOW,2900,36,36000
EXCLUSIONARY,C,"0 - 48,000","36 / 36,000",100,REFERENCE_HIGH,3900,36,36000
EXCLUSIONARY,C,"0 - 48,000","48 / 48,000",100,REFERENCE_LOW,3650,48,48000
EXCLUSIONARY,C,"0 - 48,000","48 / 48,000",100,REFERENCE_HIGH,4850,48,48000
EXCLUSIONARY,C,"0 - 48,000","60 / 60,000",100,REFERENCE_LOW,5000,60,60000
EXCLUSIONARY,C,"0 - 48,000","60 / 60,000",100,REFERENCE_HIGH,6350,60,60000
EXCLUSIONARY,C,"0 - 48,000","60 / 75,000",100,REFERENCE_LOW,5750,60,75000
EXCLUSIONARY,C,"0 - 48,000","60 / 75,000",100,REFERENCE_HIGH,6850,60,75000
EXCLUSIONARY,C,"48,001 - 60,000","24 / 24,000",100,REFERENCE_LOW,2400,24,24000
EXCLUSIONARY,C,"48,001 - 60,000","24 / 24,000",100,REFERENCE_HIGH,3200,24,24000
EXCLUSIONARY,C,"48,001 - 60,000","24 / 30,000",100,REFERENCE_LOW,2550,24,30000
EXCLUSIONARY,C,"48,001 - 60,000","24 / 30,000",100,REFERENCE_HIGH,3450,24,30000
EXCLUSIONARY,C,"48,001 - 60,000","36 / 36,000",100,REFERENCE_LOW,3400,36,36000
EXCLUSIONARY,C,"48,001 - 60,000","36 / 36,000",100,REFERENCE_HIGH,4550,36,36000
EXCLUSIONARY,C,"48,001 - 60,000","48 / 48,000",100,REFERENCE_LOW,4250,48,48000
EXCLUSIONARY,C,"48,001 - 60,000","48 / 48,000",100,REFERENCE_HIGH,5700,48,48000
EXCLUSIONARY,C,"48,001 - 60,000","60 / 60,000",100,REFERENCE_LOW,5900,60,60000
EXCLUSIONARY,C,"48,001 - 60,000","60 / 60,000",100,REFERENCE_HIGH,6900,60,60000
EXCLUSIONARY,C,"48,001 - 60,000","60 / 75,000",100,REFERENCE_LOW,6500,60,75000
EXCLUSIONARY,C,"48,001 - 60,000","60 / 75,000",100,REFERENCE_HIGH,7500,60,75000
EXCLUSIONARY,C,"60,001 - 72,000","24 / 24,000",100,REFERENCE_LOW,3650,24,24000
EXCLUSIONARY,C,"60,001 - 72,000","24 / 24,000",100,REFERENCE_HIGH,4850,24,24000
EXCLUSIONARY,C,"60,001 - 72,000","24 / 30,000",100,REFERENCE_LOW,3950,24,30000
EXCLUSIONARY,C,"60,001 - 72,000","24 / 30,000",100,REFERENCE_HIGH,5250,24,30000
EXCLUSIONARY,C,"60,001 - 72,000","36 / 36,000",100,REFERENCE_LOW,5250,36,36000
EXCLUSIONARY,C,"60,001 - 72,000","36 / 36,000",100,REFERENCE_HIGH,6500,36,36000
EXCLUSIONARY,C,"60,001 - 72,000","48 / 48,000",100,REFERENCE_LOW,6400,48,48000
EXCLUSIONARY,C,"60,001 - 72,000","48 / 48,000",100,REFERENCE_HIGH,7400,48,48000
EXCLUSIONARY,C,"60,001 - 72,000","60 / 60,000",100,REFERENCE_LOW,8150,60,60000
EXCLUSIONARY,C,"60,001 - 72,000","60 / 60,000",100,REFERENCE_HIGH,9400,60,60000
EXCLUSIONARY,C,"60,001 - 72,000","60 / 75,000",100,REFERENCE_LOW,9100,60,75000
EXCLUSIONARY,C,"60,001 - 72,000","60 / 75,000",100,REFERENCE_HIGH,10500,60,75000
EXCLUSIONARY,C,"72,001 - 84,000","24 / 24,000",100,REFERENCE_LOW,3800,24,24000
EXCLUSIONARY,C,"72,001 - 84,000","24 / 24,000",100,REFERENCE_HIGH,5100,24,24000
EXCLUSIONARY,C,"72,001 - 84,000","24 / 30,000",100,REFERENCE_LOW,4150,24,30000
EXCLUSIONARY,C,"72,001 - 84,000","24 / 30,000",100,REFERENCE_HIGH,5500,24,30000
EXCLUSIONARY,C,"72,001 - 84,000","36 / 36,000",100,REFERENCE_LOW,5550,36,36000
EXCLUSIONARY,C,"72,001 - 84,000","36 / 36,000",100,REFERENCE_HIGH,6700,36,36000
EXCLUSIONARY,C,"72,001 - 84,000","48 / 48,000",100,REFERENCE_LOW,6650,48,48000
EXCLUSIONARY,C,"72,001 - 84,000","48 / 48,000",100,REFERENCE_HIGH,7650,48,48000
EXCLUSIONARY,C,"72,001 - 84,000","60 / 60,000",100,REFERENCE_LOW,8450,60,60000
EXCLUSIONARY,C,"72,001 - 84,000","60 / 60,000",100,REFERENCE_HIGH,9750,60,60000
EXCLUSIONARY,C,"72,001 - 84,000","60 / 75,000",100,REFERENCE_LOW,9500,60,75000
EXCLUSIONARY,C,"72,001 - 84,000","60 / 75,000",100,REFERENCE_HIGH,10950,60,75000
EXCLUSIONARY,D,"0 - 48,000","24 / 24,000",100,REFERENCE_LOW,4050,24,24000
EXCLUSIONARY,D,"0 - 48,000","24 / 24,000",100,REFERENCE_HIGH,5400,24,24000
EXCLUSIONARY,D,"0 - 48,000","24 / 30,000",100,REFERENCE_LOW,4350,24,30000
EXCLUSIONARY,D,"0 - 48,000","24 / 30,000",100,REFERENCE_HIGH,5800,24,30000
EXCLUSIONARY,D,"0 - 48,000","36 / 36,000",100,REFERENCE_LOW,6250,36,36000
EXCLUSIONARY,D,"0 - 48,000","36 / 36,000",100,REFERENCE_HIGH,7250,36,36000
EXCLUSIONARY,D,"0 - 48,000","48 / 48,000",100,REFERENCE_LOW,7400,48,48000
EXCLUSIONARY,D,"0 - 48,000","48 / 48,000",100,REFERENCE_HIGH,8550,48,48000
EXCLUSIONARY,D,"0 - 48,000","60 / 60,000",100,REFERENCE_LOW,9500,60,60000
EXCLUSIONARY,D,"0 - 48,000","60 / 60,000",100,REFERENCE_HIGH,10950,60,60000
EXCLUSIONARY,D,"0 - 48,000","60 / 75,000",100,REFERENCE_LOW,10700,60,75000
EXCLUSIONARY,D,"0 - 48,000","60 / 75,000",100,REFERENCE_HIGH,12350,60,75000
EXCLUSIONARY,D,"48,001 - 60,000","24 / 24,000",100,REFERENCE_LOW,4750,24,24000
EXCLUSIONARY,D,"48,001 - 60,000","24 / 24,000",100,REFERENCE_HIGH,6150,24,24000
EXCLUSIONARY,D,"48,001 - 60,000","24 / 30,000",100,REFERENCE_LOW,5150,24,30000
EXCLUSIONARY,D,"48,001 - 60,000","24 / 30,000",100,REFERENCE_HIGH,6400,24,30000
EXCLUSIONARY,D,"48,001 - 60,000","36 / 36,000",100,REFERENCE_LOW,6600,36,36000
EXCLUSIONARY,D,"48,001 - 60,000","36 / 36,000",100,REFERENCE_HIGH,7600,36,36000
EXCLUSIONARY,D,"48,001 - 60,000","48 / 48,000",100,REFERENCE_LOW,7800,48,48000
EXCLUSIONARY,D,"48,001 - 60,000","48 / 48,000",100,REFERENCE_HIGH,9000,48,48000
EXCLUSIONARY,D,"48,001 - 60,000","60 / 60,000",100,REFERENCE_LOW,10100,60,60000
EXCLUSIONARY,D,"48,001 - 60,000","60 / 60,000",100,REFERENCE_HIGH,11650,60,60000
EXCLUSIONARY,D,"48,001 - 60,000","60 / 75,000",100,REFERENCE_LOW,11400,60,75000
EXCLUSIONARY,D,"48,001 - 60,000","60 / 75,000",100,REFERENCE_HIGH,13150,60,75000
EXCLUSIONARY,D,"60,001 - 72,000","24 / 24,000",100,REFERENCE_LOW,6950,24,24000
EXCLUSIONARY,D,"60,001 - 72,000","24 / 24,000",100,REFERENCE_HIGH,8000,24,24000
EXCLUSIONARY,D,"60,001 - 72,000","24 / 30,000",100,REFERENCE_LOW,7350,24,30000
EXCLUSIONARY,D,"60,001 - 72,000","24 / 30,000",100,REFERENCE_HIGH,8500,24,30000
EXCLUSIONARY,D,"60,001 - 72,000","36 / 36,000",100,REFERENCE_LOW,9300,36,36000
EXCLUSIONARY,D,"60,001 - 72,000","36 / 36,000",100,REFERENCE_HIGH,10700,36,36000
EXCLUSIONARY,D,"72,001 - 84,000","24 / 24,000",100,REFERENCE_LOW,7200,24,24000
EXCLUSIONARY,D,"72,001 - 84,000","24 / 24,000",100,REFERENCE_HIGH,8300,24,24000
EXCLUSIONARY,D,"72,001 - 84,000","24 / 30,000",100,REFERENCE_LOW,7650,24,30000
EXCLUSIONARY,D,"72,001 - 84,000","24 / 30,000",100,REFERENCE_HIGH,8800,24,30000
EXCLUSIONARY,D,"72,001 - 84,000","36 / 36,000",100,REFERENCE_LOW,9650,36,36000
EXCLUSIONARY,D,"72,001 - 84,000","36 / 36,000",100,REFERENCE_HIGH,11100,36,36000
